Connecting to host 10.0.0.21, port 14021
[102] local 10.0.0.14 port 47325 connected to 10.0.0.21 port 14021
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[102]   0.00-1.00   sec  7.07 KBytes  57.9 Kbits/sec  5  
[102]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec  0  
[102]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec  0  
[102]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec  0  
[102]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec  0  
[102]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec  0  
[102]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec  0  
[102]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec  0  
[102]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec  0  
[102]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec  0  
[102]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec  0  
[102]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec  0  
[102]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec  0  
[102]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec  0  
[102]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec  0  
[102]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec  0  
[102]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec  0  
[102]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec  0  
iperf3: error - control socket has closed unexpectedly
