-----------------------------------------------------------
Server listening on 13014 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.13, port 48916
[  6] local 10.0.0.14 port 13014 connected to 10.0.0.13 port 59655
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-1.00   sec   158 KBytes  1.30 Mbits/sec  3.607 ms  0/112 (0%)  
[  6]   1.00-2.00   sec   157 KBytes  1.29 Mbits/sec  3.366 ms  0/111 (0%)  
[  6]   2.00-3.00   sec   154 KBytes  1.26 Mbits/sec  3.932 ms  0/109 (0%)  
[  6]   3.00-4.00   sec   143 KBytes  1.17 Mbits/sec  4.804 ms  0/101 (0%)  
[  6]   4.00-5.00   sec   154 KBytes  1.26 Mbits/sec  3.572 ms  0/109 (0%)  
[  6]   5.00-6.00   sec   124 KBytes  1.02 Mbits/sec  8.536 ms  0/88 (0%)  
[  6]   6.00-7.00   sec   117 KBytes   961 Kbits/sec  16.178 ms  0/83 (0%)  
[  6]   7.00-8.00   sec   151 KBytes  1.24 Mbits/sec  19.534 ms  0/107 (0%)  
[  6]   8.00-9.00   sec   116 KBytes   949 Kbits/sec  7.746 ms  0/82 (0%)  
[  6]   9.00-10.00  sec   106 KBytes   869 Kbits/sec  8.694 ms  0/75 (0%)  
[  6]  10.00-11.00  sec  56.6 KBytes   463 Kbits/sec  7.764 ms  0/40 (0%)  
[  6]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec  7.764 ms  0/0 (0%)  
[  6]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec  7.764 ms  0/0 (0%)  
[  6]  13.00-14.01  sec   163 KBytes  1.33 Mbits/sec  7.868 ms  0/115 (0%)  
[  6]  14.01-15.00  sec  0.00 Bytes  0.00 bits/sec  7.868 ms  0/0 (0%)  
[  6]  15.00-16.00  sec  45.2 KBytes   371 Kbits/sec  55.623 ms  0/32 (0%)  
[  6]  16.00-17.00  sec   117 KBytes   961 Kbits/sec  7.913 ms  0/83 (0%)  
[  6]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec  7.913 ms  0/0 (0%)  
[  6]  18.00-19.00  sec   105 KBytes   856 Kbits/sec  10.306 ms  0/74 (0%)  
[  6]  19.00-20.00  sec  58.0 KBytes   475 Kbits/sec  7.871 ms  0/41 (0%)  
[  6]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec  7.871 ms  0/0 (0%)  
[  6]  21.00-22.00  sec   163 KBytes  1.33 Mbits/sec  7.874 ms  0/115 (0%)  
[  6]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec  7.874 ms  0/0 (0%)  
[  6]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec  7.874 ms  0/0 (0%)  
[  6]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec  7.874 ms  0/0 (0%)  
[  6]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec  7.874 ms  0/0 (0%)  
[  6]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec  7.874 ms  0/0 (0%)  
[  6]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec  7.874 ms  0/0 (0%)  
[  6]  28.00-29.00  sec  1.41 KBytes  11.6 Kbits/sec  425.060 ms  0/1 (0%)  
[  6]  29.00-30.00  sec  1.41 KBytes  11.6 Kbits/sec  565.365 ms  2565/2566 (1e+02%)  
[  6]  30.00-31.00  sec  1.41 KBytes  11.6 Kbits/sec  534.450 ms  214/215 (1e+02%)  
[  6]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec  534.450 ms  0/0 (0%)  
[  6]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec  534.450 ms  0/0 (0%)  
[  6]  33.00-34.00  sec  4.24 KBytes  34.8 Kbits/sec  444.087 ms  672/675 (1e+02%)  
[  6]  34.00-35.00  sec  2.83 KBytes  23.2 Kbits/sec  390.316 ms  24/26 (92%)  
[  6]  35.00-36.00  sec  1.41 KBytes  11.6 Kbits/sec  365.939 ms  340/341 (1e+02%)  
[  6]  36.00-37.00  sec  4.24 KBytes  34.7 Kbits/sec  301.536 ms  192/195 (98%)  
[  6]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec  301.536 ms  0/0 (0%)  
[  6]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec  301.536 ms  0/0 (0%)  
[  6]  39.00-39.95  sec  0.00 Bytes  0.00 bits/sec  301.536 ms  0/0 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-39.95  sec  2.06 MBytes   432 Kbits/sec  301.536 ms  4007/5496 (73%)  receiver
