-----------------------------------------------------------
Server listening on 15001 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.15, port 46238
[  6] local 10.0.0.1 port 15001 connected to 10.0.0.15 port 45085
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-1.00   sec  56.6 KBytes   463 Kbits/sec  0.369 ms  0/40 (0%)  
[  6]   1.00-2.00   sec  63.6 KBytes   521 Kbits/sec  0.815 ms  0/45 (0%)  
[  6]   2.00-3.00   sec  63.6 KBytes   521 Kbits/sec  0.060 ms  0/45 (0%)  
[  6]   3.00-4.00   sec  63.6 KBytes   521 Kbits/sec  0.014 ms  0/45 (0%)  
[  6]   4.00-5.00   sec  63.6 KBytes   521 Kbits/sec  0.031 ms  0/45 (0%)  
[  6]   5.00-6.00   sec  63.6 KBytes   522 Kbits/sec  0.031 ms  0/45 (0%)  
[  6]   6.00-7.00   sec  63.6 KBytes   521 Kbits/sec  0.054 ms  0/45 (0%)  
[  6]   7.00-8.00   sec  63.6 KBytes   521 Kbits/sec  0.026 ms  0/45 (0%)  
[  6]   8.00-9.00   sec  63.6 KBytes   521 Kbits/sec  0.030 ms  0/45 (0%)  
[  6]   9.00-10.00  sec  62.2 KBytes   509 Kbits/sec  0.032 ms  0/44 (0%)  
[  6]  10.00-11.00  sec  63.6 KBytes   522 Kbits/sec  0.042 ms  0/45 (0%)  
[  6]  11.00-12.00  sec  63.6 KBytes   521 Kbits/sec  0.021 ms  0/45 (0%)  
[  6]  12.00-13.00  sec  63.6 KBytes   521 Kbits/sec  0.018 ms  0/45 (0%)  
[  6]  13.00-14.00  sec  63.6 KBytes   521 Kbits/sec  0.017 ms  0/45 (0%)  
[  6]  14.00-15.00  sec  63.6 KBytes   522 Kbits/sec  0.031 ms  0/45 (0%)  
[  6]  15.00-16.00  sec  63.6 KBytes   521 Kbits/sec  0.027 ms  0/45 (0%)  
[  6]  16.00-17.00  sec  63.6 KBytes   521 Kbits/sec  0.009 ms  0/45 (0%)  
[  6]  17.00-18.00  sec  63.6 KBytes   521 Kbits/sec  0.003 ms  0/45 (0%)  
[  6]  18.00-19.00  sec  63.6 KBytes   521 Kbits/sec  0.003 ms  0/45 (0%)  
[  6]  19.00-20.00  sec  63.6 KBytes   522 Kbits/sec  0.003 ms  0/45 (0%)  
[  6]  20.00-21.00  sec  63.6 KBytes   521 Kbits/sec  0.006 ms  0/45 (0%)  
[  6]  21.00-22.00  sec  62.2 KBytes   510 Kbits/sec  0.004 ms  0/44 (0%)  
[  6]  22.00-23.00  sec  63.6 KBytes   521 Kbits/sec  0.021 ms  0/45 (0%)  
[  6]  23.00-24.00  sec  63.6 KBytes   521 Kbits/sec  0.008 ms  0/45 (0%)  
[  6]  24.00-25.00  sec  63.6 KBytes   521 Kbits/sec  0.008 ms  0/45 (0%)  
[  6]  25.00-26.00  sec  63.6 KBytes   521 Kbits/sec  0.016 ms  0/45 (0%)  
[  6]  26.00-27.00  sec  63.6 KBytes   521 Kbits/sec  0.017 ms  0/45 (0%)  
[  6]  27.00-28.00  sec  63.6 KBytes   521 Kbits/sec  0.036 ms  0/45 (0%)  
[  6]  28.00-29.00  sec  63.6 KBytes   521 Kbits/sec  0.008 ms  0/45 (0%)  
[  6]  29.00-30.00  sec  63.6 KBytes   522 Kbits/sec  0.003 ms  0/45 (0%)  
[  6]  30.00-30.12  sec  7.07 KBytes   490 Kbits/sec  0.003 ms  0/5 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-30.12  sec  1.86 MBytes   518 Kbits/sec  0.003 ms  0/1348 (0%)  receiver
