-----------------------------------------------------------
Server listening on 9002 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.9, port 50018
[  6] local 10.0.0.2 port 9002 connected to 10.0.0.9 port 36111
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-1.00   sec  1.03 MBytes  8.61 Mbits/sec  0.492 ms  0/744 (0%)  
[  6]   1.00-2.00   sec   489 KBytes  4.01 Mbits/sec  0.497 ms  0/346 (0%)  
[  6]   2.00-3.00   sec   652 KBytes  5.34 Mbits/sec  0.506 ms  0/461 (0%)  
[  6]   3.00-4.00   sec   489 KBytes  4.01 Mbits/sec  0.505 ms  0/346 (0%)  
[  6]   4.00-5.00   sec   327 KBytes  2.67 Mbits/sec  0.499 ms  0/231 (0%)  
[  6]   5.00-6.00   sec   485 KBytes  3.97 Mbits/sec  0.042 ms  48246/48589 (99%)  
[  6]   6.00-7.00   sec   645 KBytes  5.28 Mbits/sec  0.040 ms  10077/10533 (96%)  
[  6]   7.00-8.00   sec   645 KBytes  5.28 Mbits/sec  0.044 ms  10101/10557 (96%)  
[  6]   8.00-9.00   sec   645 KBytes  5.29 Mbits/sec  0.046 ms  10107/10563 (96%)  
[  6]   9.00-10.00  sec   645 KBytes  5.28 Mbits/sec  0.048 ms  9431/9887 (95%)  
[  6]  10.00-11.00  sec   488 KBytes  4.00 Mbits/sec  0.494 ms  0/345 (0%)  
[  6]  11.00-12.00  sec   645 KBytes  5.29 Mbits/sec  0.046 ms  18180/18636 (98%)  
[  6]  12.00-13.00  sec   645 KBytes  5.28 Mbits/sec  0.049 ms  10196/10652 (96%)  
[  6]  13.00-14.00  sec   645 KBytes  5.28 Mbits/sec  0.029 ms  10460/10916 (96%)  
[  6]  14.00-15.00  sec   645 KBytes  5.29 Mbits/sec  0.021 ms  10293/10749 (96%)  
[  6]  15.00-16.00  sec   597 KBytes  4.88 Mbits/sec  0.046 ms  9672/10094 (96%)  
[  6]  16.00-17.00  sec   370 KBytes  3.03 Mbits/sec  0.035 ms  6874/7136 (96%)  
[  6]  17.00-18.00  sec   536 KBytes  4.39 Mbits/sec  0.023 ms  9214/9593 (96%)  
[  6]  18.00-19.00  sec   645 KBytes  5.28 Mbits/sec  0.014 ms  10040/10496 (96%)  
[  6]  19.00-20.00  sec   645 KBytes  5.28 Mbits/sec  0.026 ms  10875/11331 (96%)  
[  6]  20.00-21.00  sec   645 KBytes  5.28 Mbits/sec  0.030 ms  9789/10245 (96%)  
[  6]  21.00-22.00  sec   645 KBytes  5.28 Mbits/sec  0.040 ms  9813/10269 (96%)  
[  6]  22.00-23.00  sec   485 KBytes  3.97 Mbits/sec  0.499 ms  5681/6024 (94%)  
[  6]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec  0.499 ms  0/0 (0%)  
[  6]  24.00-25.00  sec   163 KBytes  1.33 Mbits/sec  7.763 ms  0/115 (0%)  
[  6]  25.00-26.00  sec   150 KBytes  1.23 Mbits/sec  7.706 ms  0/106 (0%)  
[  6]  26.00-27.00  sec  12.7 KBytes   104 Kbits/sec  7.699 ms  0/9 (0%)  
[  6]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec  7.699 ms  0/0 (0%)  
[  6]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec  7.699 ms  0/0 (0%)  
[  6]  29.00-30.00  sec   163 KBytes  1.33 Mbits/sec  7.906 ms  0/115 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-30.00  sec  13.9 MBytes  3.88 Mbits/sec  7.906 ms  209049/219088 (95%)  receiver
